,sentiment,content
0,happiness,Just best shower ever Still completely deaf one ear kinda getting used Gonna watch women
1,worry,I know sprain It repetitive injury
2,worry,Omg one year work permit Going home end June really gna miss canada
3,neutral,lol You must new
4,happiness,Thank guts 360 followers It means lot
5,worry,NEED somthing FOR THIS EXCRUCIATING HEADACHE
6,relief,I know But I ok
7,neutral,My brother planning moving vietnam staying forever
8,fun,short usual awesome
9,neutral,still page one Google still cant quite believe spent cent get page One Wow next mom
10,happiness,No Evidence No Conviction Absolutely hilarious Makes day every time
11,worry,oh hope feel better soon Hugs I flu earlier month
12,worry,Home Sweet Home Carrie Underwood makes said
13,sadness,Ugly betty noo sad
14,neutral,Watching good morning america
15,worry,man yes BrOoKlYn goes hard longshore short 2 get comfy windy
16,neutral,twitter facebook myspace phone still
17,neutral,safari 4 beta OFF firebox 3 ON
18,love,Loved Wanda Sykes performance White House Correspondent Association Dinner
19,surprise,found closed mondays working backup plan
20,surprise,I pre order
21,fun,radianborge learning ways padre de family go go go boogie
22,neutral,mason seems think hamburger go gos get till october well
23,surprise,going somewhat town visiting uncle foyet farm
24,fun,I got sunburnt knees funny I bet sting later Had fab day though
25,worry,I would But I live across country
26,sadness,That true It still sucks though cause I loll I AM SO ORIGINAL ofshit But yeah Thanks
27,neutral,Is tired wants sleep bed
28,hate,funny profiled ass Like wif I still kinda heated Ugh
29,worry,Ca find pictures
30,hate,yes good 2 see laught poor lad asking mum dad 2 kill
31,happiness,Why yes I DO Or rather Just finished Starting Dead Like Me lolly
32,worry,trailer removed look see find somewhere
33,enthusiasm,I got twitter account
34,happiness,haha problem fun
35,worry,aww sucks also finish uni totally mini housewarming yes work around schedule laughing loud
36,sadness,im doofus could happen watch sad im break
37,enthusiasm,Gonna see cab twice In August I taking friend Jess Vegas one day
38,sadness,mom cars broken I feel violated
39,happiness,good morning It nice see
40,anger,Guess I need get iPhone sure It looks bad ass
41,sadness,The party moved next weekend stupid weather
42,worry,really miss wish
43,empty,friday night home party weekend
44,fun,all mann meet summa something
45,relief,Ratings Army Wives teary Criminal Minds Yikes Criminal Intent takes sorts real life news horrifying ok bed nite
46,neutral,I know know hugs
47,boredom,Really bored tonight though Your book I think Y ex
48,neutral,Doctor work Hope bitches fun conditions show without
49,neutral,Its cloudy outside
50,happiness,hope enjoyed holiday
51,neutral,dagnabbitt u kno I wanna go gotta couple laps pool though
52,neutral,really ur brave lady walkin around lions book suggestions
53,sadness,Dam 5 votes gonna win anything
54,fun,uploading bamboozle pictures facebook
55,happiness,Went outside picked flowers Marina love picking flowers haha
56,worry,Listening Distorting Code Spinnerette cant wait get hands full length
57,happiness,first night sleeping new home
58,neutral,uh wait thought tonight
59,fun,Helping kiddie church tomorrow Yay little guys
60,worry,I lost Please help find good home
61,happiness,plugged ready go device updates feel free bombard time Time actually get something done
62,fun,Happy Star Wars Day May Fourth
63,neutral,Come VietNam make live Show Miley much fans love Viet Nam
64,worry,sorry day good make feel better know beating oprah twitterworld
65,fun,pleasure hey played going away party back 87 lots burned brain
66,neutral,Exam 1 today Going get license renewed The birthday getting closer
67,neutral,ok sweet whenever u want I stuck bed weekend
68,worry,I go sleep wake December house organized baby feeling like poo today
69,surprise,Ok I awake I awake I think
70,neutral,need know cautious cautious good
71,happiness,aww HEE nicely done weekend guest approves lot
72,sadness,besides I strep like 10 years reason I tired anything else
73,fun,All zombie songs dedicated
74,neutral,That alright Add egg maybe sort leftover meat bad 3
75,hate,news kid They ca find parent
76,happiness,Today fun I 3 meeting bodies The acoustic set soo phenomenal
77,love,The best thing I ever done carry birth child
78,empty,gor soo bored man think could get bored
79,sadness,Why I agree work gorgeous day
80,happiness,happy mothers day go dockers
81,sadness,thinking life dreams seem appealing give im jealous every band artist living
82,worry,Oh I beg add ord nite Dublin October PLEEASSEE
83,happiness,haha I know work blip apart obvious thanks blipping song nice day six
84,hate,Just got woken mom Our ENTIRE first floor flooded All furniture curtains moms e playful ensive rugs Soaked ruined
85,fun,loong day 8 hours work 5 minute shower back shane man hear bed calling bunch
86,surprise,horrible twitter er Moved Houston apartment awaiting work starting Monday Real world
87,love,greatest friends entire world
88,happiness,I agree keep Star Trek make commercially viable amon
89,worry,Soo tired could get enough sleep
90,sadness,aww im sorry wo much longer
91,neutral,Jay Leno one show left host The Tonight Show
92,worry,I nightmare last night cry I think I scarred life
93,surprise,Offline Have give private lesson eran money
94,worry,That sucks man I hope problem free weekend
95,fun,Oh Good idea putting ice cream
96,sadness,awash Sorry We glad closer us though
97,happiness,nursing scratches bumps festival mud wrestling I swear still dirt hair good time
98,neutral,I waiting I get back ambu stopped working 10 5 7
99,worry,My man like 3 happy 0 I classes worry
100,enthusiasm,Early monday cramming yay Only weeks left
101,happiness,piped 5 6 running successful via wine get EMS running
102,neutral,Loves david soo much 3
103,sadness,I wish I could go See ya Warped sure tho
104,hate,There bugs attacking laptop
105,neutral,Morning Tweet Tweet
106,fun,waiting hubby wake entirely much fun wit tha semester last night
107,love,No wonder married Night love 3
108,neutral,Got deadline meet No gif
109,surprise,sadly brother told skatepark lives BUMMER
110,happiness,I looking forward see hear Norway Live fast
111,neutral,suh daTs whacK
112,worry,nigel really enjoyed got big scratch side ine playful liable appeared afterwards
113,hate,plan may changes noo
114,happiness,In Park swings victory mine right
115,happiness,yaah tangerine vacation
116,love,Thanks follow Was adding twitter page commenting blog
117,neutral,total quote sure u would know
118,love,Good Morning twenties
119,love,home couple minutes yay I See tomorrow morning tweedle After gonna monday
120,worry,Justin SO warm It makes worry high fever I go sleep
121,worry,THE LINK DOESNT WOR
122,worry,Wishing rain would stay away I go pool
123,happiness,Went restraint ny amazing
124,worry,already got shot show prove
125,worry,well take sexy ass sleep foo weekend mami
126,fun,know nice haha
127,neutral,answer part question
128,neutral,oh really must missed post
129,fun,I really disappointed whole promiscuous girl thing congrats success think wasted talent
130,worry,fun focus grouping participants yet
131,hate,How freaking cold Sydney tonight
132,worry,What mass exodus work half three It makes sad
133,sadness,At school boring
134,worry,mom opted strike May altar bhai unveil really happened Karachi
135,happiness,seeing Star Trek tonight Super stoked
136,neutral,If makes feel better I lost 10 overnight cause I posted picture baby
137,neutral,Brought back memories mentioning mixer pushed Angels desk full glass beer fault desk
138,neutral,told shes allowed sun tomorow either wear sun cream
139,surprise,Wolverine Was BOSS Seriously And Will I Am Was In It What The Fuck
140,worry,ger foot killing miss matthew
141,neutral,Good news tooth
142,fun,Correspondant Dinner Rocked Wanda Sykes hilarious Obama bad Happy Mother Day mom
143,neutral,9 imperials later I ready ready nap
144,neutral,ooh What Happened To Power formal
145,worry,Bad day The day realize mess put one happiest days life
146,sadness,isabelmariee oh snap
147,love,oh said good byes hugs dad left around 4 morning I woke empty house pretty scared
148,love,ooh I lovin First Lady fuschia sheath dress Tres chic I want arms
149,hate,That sounds shitty
