,sentiment,content
0,pos,Just best shower ever Still completely deaf one ear kinda getting used Gonna watch women
1,neg,I know sprain It repetitive injury
2,neg,Omg one year work permit Going home end June really gna miss canada
3,neutral,lol You must new
4,pos,Thank guts 360 followers It means lot
5,neg,NEED somthing FOR THIS EXCRUCIATING HEADACHE
6,pos,I know But I ok
7,neutral,My brother planning moving vietnam staying forever
8,pos,short usual awesome
9,neutral,still page one Google still cant quite believe spent cent get page One Wow next mom
10,pos,No Evidence No Conviction Absolutely hilarious Makes day every time
11,neg,oh hope feel better soon Hugs I flu earlier month
12,neg,Home Sweet Home Carrie Underwood makes said
13,neg,Ugly betty noo sad
14,neutral,Watching good morning america
15,neg,man yes BrOoKlYn goes hard longshore short 2 get comfy windy
16,neutral,twitter facebook myspace phone still
17,neutral,safari 4 beta OFF firebox 3 ON
18,pos,Loved Wanda Sykes performance White House Correspondent Association Dinner
19,neutral,found closed mondays working backup plan
20,neutral,I pre order
21,pos,radianborge learning ways padre de family go go go boogie
22,neutral,mason seems think hamburger go gos get till october well
23,neutral,going somewhat town visiting uncle foyet farm
24,pos,I got sunburnt knees funny I bet sting later Had fab day though
25,neg,I would But I live across country
26,neg,That true It still sucks though cause I loll I AM SO ORIGINAL ofshit But yeah Thanks
27,neutral,Is tired wants sleep bed
28,neg,funny profiled ass Like wif I still kinda heated Ugh
29,neg,Ca find pictures
30,neg,yes good 2 see laught poor lad asking mum dad 2 kill
31,pos,Why yes I DO Or rather Just finished Starting Dead Like Me lolly
32,neg,trailer removed look see find somewhere
33,pos,I got twitter account
34,pos,haha problem fun
35,neg,aww sucks also finish uni totally mini housewarming yes work around schedule laughing loud
36,neg,im doofus could happen watch sad im break
37,pos,Gonna see cab twice In August I taking friend Jess Vegas one day
38,neg,mom cars broken I feel violated
39,pos,good morning It nice see
40,neg,Guess I need get iPhone sure It looks bad ass
41,neg,The party moved next weekend stupid weather
42,neg,really miss wish
43,neutral,friday night home party weekend
44,pos,all mann meet summa something
45,pos,Ratings Army Wives teary Criminal Minds Yikes Criminal Intent takes sorts real life news horrifying ok bed nite
46,neutral,I know know hugs
47,neg,Really bored tonight though Your book I think Y ex
48,neutral,Doctor work Hope bitches fun conditions show without
49,neutral,Its cloudy outside
50,pos,hope enjoyed holiday
51,neutral,dagnabbitt u kno I wanna go gotta couple laps pool though
52,neutral,really ur brave lady walkin around lions book suggestions
53,neg,Dam 5 votes gonna win anything
54,pos,uploading bamboozle pictures facebook
55,pos,Went outside picked flowers Marina love picking flowers haha
56,neg,Listening Distorting Code Spinnerette cant wait get hands full length
57,pos,first night sleeping new home
58,neutral,uh wait thought tonight
59,pos,Helping kiddie church tomorrow Yay little guys
60,neg,I lost Please help find good home
61,pos,plugged ready go device updates feel free bombard time Time actually get something done
62,pos,Happy Star Wars Day May Fourth
63,neutral,Come VietNam make live Show Miley much fans love Viet Nam
64,neg,sorry day good make feel better know beating oprah twitterworld
65,pos,pleasure hey played going away party back 87 lots burned brain
66,neutral,Exam 1 today Going get license renewed The birthday getting closer
67,neutral,ok sweet whenever u want I stuck bed weekend
68,neg,I go sleep wake December house organized baby feeling like poo today
69,neutral,Ok I awake I awake I think
70,neutral,need know cautious cautious good
71,pos,aww HEE nicely done weekend guest approves lot
72,neg,besides I strep like 10 years reason I tired anything else
73,pos,All zombie songs dedicated
74,neutral,That alright Add egg maybe sort leftover meat bad 3
75,neg,news kid They ca find parent
76,pos,Today fun I 3 meeting bodies The acoustic set soo phenomenal
77,pos,The best thing I ever done carry birth child
78,neutral,gor soo bored man think could get bored
79,neg,Why I agree work gorgeous day
80,pos,happy mothers day go dockers
81,neg,thinking life dreams seem appealing give im jealous every band artist living
82,neg,Oh I beg add ord nite Dublin October PLEEASSEE
83,pos,haha I know work blip apart obvious thanks blipping song nice day six
84,neg,Just got woken mom Our ENTIRE first floor flooded All furniture curtains moms e playful ensive rugs Soaked ruined
85,pos,loong day 8 hours work 5 minute shower back shane man hear bed calling bunch
86,neutral,horrible twitter er Moved Houston apartment awaiting work starting Monday Real world
87,pos,greatest friends entire world
88,pos,I agree keep Star Trek make commercially viable amon
89,neg,Soo tired could get enough sleep
90,neg,aww im sorry wo much longer
91,neutral,Jay Leno one show left host The Tonight Show
92,neg,I nightmare last night cry I think I scarred life
93,neutral,Offline Have give private lesson eran money
94,neg,That sucks man I hope problem free weekend
95,pos,Oh Good idea putting ice cream
96,neg,awash Sorry We glad closer us though
97,pos,nursing scratches bumps festival mud wrestling I swear still dirt hair good time
98,neutral,I waiting I get back ambu stopped working 10 5 7
99,neg,My man like 3 happy 0 I classes worry
100,pos,Early monday cramming yay Only weeks left
101,pos,piped 5 6 running successful via wine get EMS running
102,neutral,Loves david soo much 3
103,neg,I wish I could go See ya Warped sure tho
104,neg,There bugs attacking laptop
105,neutral,Morning Tweet Tweet
106,pos,waiting hubby wake entirely much fun wit tha semester last night
107,pos,No wonder married Night love 3
108,neutral,Got deadline meet No gif
109,neutral,sadly brother told skatepark lives BUMMER
110,pos,I looking forward see hear Norway Live fast
111,neutral,suh daTs whacK
112,neg,nigel really enjoyed got big scratch side ine playful liable appeared afterwards
113,neg,plan may changes noo
114,pos,In Park swings victory mine right
115,pos,yaah tangerine vacation
116,pos,Thanks follow Was adding twitter page commenting blog
117,neutral,total quote sure u would know
118,pos,Good Morning twenties
119,pos,home couple minutes yay I See tomorrow morning tweedle After gonna monday
120,neg,Justin SO warm It makes worry high fever I go sleep
121,neg,THE LINK DOESNT WOR
122,neg,Wishing rain would stay away I go pool
123,pos,Went restraint ny amazing
124,neg,already got shot show prove
125,neg,well take sexy ass sleep foo weekend mami
126,pos,know nice haha
127,neutral,answer part question
128,neutral,oh really must missed post
129,pos,I really disappointed whole promiscuous girl thing congrats success think wasted talent
130,neg,fun focus grouping participants yet
131,neg,How freaking cold Sydney tonight
132,neg,What mass exodus work half three It makes sad
133,neg,At school boring
134,neg,mom opted strike May altar bhai unveil really happened Karachi
135,pos,seeing Star Trek tonight Super stoked
136,neutral,If makes feel better I lost 10 overnight cause I posted picture baby
137,neutral,Brought back memories mentioning mixer pushed Angels desk full glass beer fault desk
138,neutral,told shes allowed sun tomorow either wear sun cream
139,neutral,Wolverine Was BOSS Seriously And Will I Am Was In It What The Fuck
140,neg,ger foot killing miss matthew
141,neutral,Good news tooth
142,pos,Correspondant Dinner Rocked Wanda Sykes hilarious Obama bad Happy Mother Day mom
143,neutral,9 imperials later I ready ready nap
144,neutral,ooh What Happened To Power formal
145,neg,Bad day The day realize mess put one happiest days life
146,neg,isabelmariee oh snap
147,pos,oh said good byes hugs dad left around 4 morning I woke empty house pretty scared
148,pos,ooh I lovin First Lady fuschia sheath dress Tres chic I want arms
149,neg,That sounds shitty
150,neg,I afraid bit fail last two recommendations available UK
151,neutral,looking models beauty shoot THIS THURSDAY Valley studio contact interested
152,neg,Just got rejection email jeff schools fingers crossed Boulder Valley
153,neg,I look 3 times sunk totally shocked tbe
154,neutral,work soon looking rly dead today
155,neutral,mix dentist app afternoon rescheduled tomorrow
156,neg,Just I thought albany could worse ao leave
157,pos,happy mother day
158,neg,I know im skeptical
159,neg,I known something would go wrong The van problems Oh please tell cost us arm leg
160,pos,3 maria wish class love lol bored class
161,neg,You must e read mind I WAS going thunderstorming AND I pick boys bus stop
162,neg,I love summer I oddly want school year end
163,neg,My coffee got cold blah
164,neutral,cyborgs small leap
165,neg,Dilated pupils suck The computer screen hurts eyes I wo comp
166,neg,Omg I sorry Sorry I never know say
167,pos,ca tell thrilled I nosebleed first time ages overjoyed cover urgh
168,pos,haha yeah know yeah things okay pretty much slowly sorting things exams coming disgust haha
169,neg,Tom Do tour Philippines please That would awesome
170,neg,Ca believe preseason start August football draws
171,neg,u feeling urself much u cant say hi likey u
172,neg,im soo bored im deffo missing music channels
173,neutral,Eighty nine min And fifty eight sec New record
174,neg,good night fellow glitterati back work tomorrow
175,neg,Not feeling well today
176,pos,I recommended net I guess since bought something featured Hopefully brings business
177,neg,ben dreams make said want together swear shit gets bawling help
178,pos,wondering random people following ive houston im Sydney babes
179,neg,went find unity girl bobo cant find fail bobo stalking
180,neg,use IE skeptical firebox playing know try fix tomorrow
181,pos,My daddy lives Manchester I love happy HULL shock bitch I mate I wanna go
182,neutral,I woke little ago sleep couple hours lol wide awake
183,neg,Sad case everyone going seperate ways Never going see friends
184,neutral,WHY AREN WE IN CHICAGO
185,pos,Love laughter creativity
186,pos,dreaming weekend awake
187,pos,getting ready another makeup baseball game Played team last night got run ruled
188,neg,lyrically Me Why would
189,neg,urgh really hate medicine
190,neg,im getting really spotty spots ALWAYS scar NO pick even dont scar FACT skin sucks
191,pos,really wanted go surfers today
192,neg,penis hope made sure okay disgust
193,neg,Sorry hear If I already much planned weekend I considered going
194,neg,Wish I coming tonight
195,neutral,weird mood muchas
196,neg,Sleeping sleeping But know I 3 kids
197,pos,Congrats Mine That Bird underdog kicking crap runners yesterday I love seeing happen
198,neutral,soo saw RObs car drive
199,neutral,I terrance middle left side center I see u
200,pos,want info ecomonday check follow It like followfriday green monday
201,neg,hope hoes much fun TOO much without though lol
202,neutral,I find stuff amusing
203,pos,got prom fun prom text
204,neutral,Getting ready theatre I seem like clothes moment I Might wear I wearing day
205,pos,oh god meant 3 perfect Wolverine sir hehe
206,neg,Just home work Need continue packing rare gone weekend I hanging
207,neutral,Hey How u u got reply
208,neutral,bank holiday today
209,neg,hi angela check email I need one thing sorry day
210,pos,Enjoying weekend kids
211,neg,We could probably get craig list List I cry later
212,neg,downloading new fonts
213,neg,sounding like worst lurky ever one wo go away ready end rope action yet
214,pos,I good thanks Hope enjoying weekend
215,neg,another song recently get much play
216,neutral,About clock work
217,neg,may I ask bluegrass means Sorry advance looking bit silly asking
218,neg,I I probably get fired I though
219,neutral,need lots money
220,pos,Enjoying Mother Day
221,neg,Ca sleep I watching hit I afraid infomercials take
222,pos,SOO mad yesterday today SUCKED much
223,pos,I ca wait start weekend I sick working I self medicate I fresh herb
224,neg,sleeping im work summer break soon Tell get butts bed lol
225,pos,Ouch Better get used I think 22 25 prime marriage years
226,pos,ah saw little nephews well world I love boys much say sis law great job
227,neutral,Watching Oceans 11 Vegas seems appropriate
228,neutral,I dunno I tried various forms nothing ca really like dislike cheese enigma
229,neg,getting stuck visiting sites rain
230,pos,wants greet moms Happy Mother Day
231,neg,Where yummiest Pan Mee For behind Dance Center ipod Garden South miss
232,pos,oh yeah happy Mothers day every mom friend moms
233,neutral,listening music phone died Ca find charger brother needs 2 stop taking mine without asking
234,neg,I VOTED u personal myspace keep talking fakes 3 u helped thru hardest time life happy
235,pos,tired good mood
236,neutral,I great time surprise party We got good
237,neg,Fixed favourites 180 heels fell 4 wears
238,neg,Dang Of course I jealous cuz I think first
239,neg,Hope ur havin nice Friday Been feeling past week since dog passing
240,neg,Lack sleep leads major head ach
241,pos,It easy Be support best thing offer love support Lost mine early
242,neutral,last day Adobe buyout I registered online tech writing course
243,pos,lanten fall new EP coming shortly I want dudes hear
244,neutral,oh god I would soo make dis show number one da ratings
245,pos,ahah 1 orange slice left eat later quite pickle im sxyhrlygrl
246,neutral,This week meet next Thu Fri Sat And try MIC Surface
247,neutral,paid 221 mo dedicated server Would rather get slice I using sol
248,neg,Today seems like good day Even though fuel pump going car xoxo
249,pos,Ar work bored hope Tiff gets soon fun start
250,neutral,Driving home listening Prince
251,neg,Well thats day watching Panthers tonight beat Saints fingers crossed cause old teams playing round
252,pos,Fuzzball fun Mother Day
253,neg,Hate sick especially one pamper
254,pos,concur people ca wait Do stop making VAS When clouds become commodity cross cloud
255,neutral,dinner appointment tonight
256,neg,coming detroit grand rapids october
257,pos,underway I like
258,neg,damn missed blog hope funnies
259,neg,I ny right favorite people instead I stuck RI
260,pos,lol good luck wink love vid bum
261,pos,feeling like 16 watching TWILIGHT enjoying
262,neg,That ord contest Canadians ca enter The overseas fans It bound turn
263,neutral,WHAT I gone 30 minutes already showing footage without
264,neutral,instant message sorry went cinema broth cause im cool yeah im sorry TOMORROW THO ILL MAKE SURE OF IT
265,neg,What let No MRI today neurosurgeon order means come back ok soon nothing new
266,pos,Nothing like home made parathas breakfast
267,pos,500 beauty school fix haha
268,pos,I want summer NOW sprinkling STILL
269,pos,Oh ok supposed going see Star Trek Sun Daves day least shatter
270,neutral,ideas That reason didnt take geography ca would fall asleep well lao
271,neutral,chaos anh chaos cars chip cars mow cars di hang thik gaan xa thong gia cooks choose hic gio moi ra ko co ok
272,neutral,Hey thank much kind say
273,neutral,Having Problems With My BlackBerry UGH I need another charged Battery least 4
274,pos,missing lol plaid bud haha damn ca big grin right
275,neg,aww I wish I could I stuck jab eyes knitting needles
276,neg,gonna get I got bitten
277,neg,I suppose bike lanes roads safe enough pull kids bike buggies trailers
278,pos,yeah well deadline 9 hours architecture oh well mom coffee sounds like good idea
279,pos,Awake man need go sleep gots wake early church tomorow
280,neutral,Perth Ford Falcon 1997 3 500 new ad received posted hoc site soon
281,neutral,Gonna go make Meme Mother day card go hop shower hop sleep
282,pos,In bed tonight really really funny best family ever
283,neutral,really lookin forward monday bak college
284,neutral,Morning How feeling I thought taking laptop hiatus
285,neg,sorry lack tweets ive buzy new vid saturday
286,neutral,3 4 hours sleep last night barely functioning
287,neutral,Sneaking Going work friend
288,neg,TODAY FRIDAY I really hope read messages reply soon I could reach phone go work
289,neg,Need ticket Gah Ya got reason346 Have listened dear Elliott weeks overdue
290,neutral,fretful look Okay But I think mumbling something It bit muffled hat sounds like I need Lactose
291,pos,home school today
292,pos,Is getting new double yellow volkswagen beetle happy star wars day
293,pos,im love wit fool college hill
294,neg,First ever dropped call mobile On call less charged data even though I data pack
295,neutral,hey WHORE kinda mean dont yu think
296,pos,Happy Birthday u Happy Birthday u Happy Birthday u Happy Birthday u Happy Birthday u And many
297,neg,Happened day Was wearing necklace made white spot chest
298,neutral,3wordsaftersex goodbye innocence
299,neg,listening mended disco I still think disbanding loss metal
300,neg,umm last night I said good question
301,neg,mix shit list Permanent mix dude
302,pos,ran 5 miles went gym woke Ur great kids dependable Danny hope great already
303,neg,crimestoppers loss client lost job Hope quote later today turns work Drowned sorrows huge
304,pos,Haha I wish I could
305,neutral,ew I know EXACTLY talking
306,neg,I think Ive buggered mobile ack I stubborn arse refuse get new one
307,pos,choose one love songs la trending topic u like Read More
308,neutral,learned hard way FireWire 800 backwards compatible FireWire 400
309,pos,I fell Austin aura Hanafiah even morrie shoot A guy look yummy Hahaha
310,neg,thanks wishing luck couple weeks ago getting higher choir make
311,neutral,Just realized get arrested public disturbance oh well take chances
312,neg,internet like ith grade fast dieing
313,neg,anothe day work lookin forward hate closing fri
314,pos,I thinking deserve award A big shiny one
315,pos,good time Rocking open mic thanks 4 love support Now working Business plan presentation No ca unite
316,pos,Looking photo inspiration But everything I want required space I
317,neutral,get try add new post
318,neutral,Lucky There mystery ingredients well
319,neutral,Listening music friend
320,neg,back home shopping putting stuff away waiting nets friend come I guess I put pants back
321,pos,okay eat cookies share lol
322,neg,I still work
323,pos,would take sky
324,neg,make people drink petrol set fire Your person thought
325,neutral,took Terminator trilogy happy I need actually series I still ca find anything tempting
326,pos,yeah fun today regret taking cup awesome must find one like
327,neg,Wrong Besides would even draw giving responsibility post mud better
328,neutral,I help sure all way haha try alot free time right haha
329,neg,Placed 2 bet sure thing lost betting
330,neg,really need mind business eating disorders NOT reason people vomit assholes
331,neg,You know old party like rockstar realize one else claps dance It
332,pos,wow weekend pretty fucking epic err school try sad
333,neutral,afraid im def product ni Karan johan generation I watching lot classics semester
334,neutral,aww I wish sun Then I get tan walks go mee go melee
335,pos,Haha looks little like I get ecstatic I meet
336,pos,Top cashier work today woot woot drink
337,neg,You still class Ouch
338,neutral,Just read article buying IP necessary mean get developement teams Does mean
339,neg,Got flat way today Pot hole Another thing tick crap things happen week list
340,pos,haha laughing loud one effing cool got Wu Tang E shirts You gorgeous represent time
341,pos,loved new picture definetly loved background Ha ex
342,pos,Only six hours left 15
343,neutral,presentations finished Busted ankle stupido models broke catwalk I TWICE fell hole beautiful bottle green Mary Janes
344,neutral,I take pic
345,neutral,17 things last thing mind cleaning everyone cake mess
346,neutral,You remember kids grenades go soon tidied house
347,neg,checked del new blogsite YAHOO im excited bring go del
348,pos,I wake 4 happy 0 week funny deathday makes think I use calendar track work hours
349,pos,done dentist November
350,neg,Aww I thought forgot last night I I hardly twitter phone text evenings ok
351,neg,You know rule says always point knife away Just learned lesson one Straight finger
352,pos,home Going warm day top Is Friday yet
353,neg,I dont like dentist make gums hurt
354,neutral,eat caps 3 2
355,pos,Feel hungry Cook leaveyour food energy work
356,pos,forgot put work clothes dryer also love new slippers
357,pos,whew thats relief
358,neutral,I give easily
359,pos,17 Again amazing I seen three times It hilarious fantastic
360,pos,What one TAMPA I excited hunt I far cities
361,neutral,dude nowadays think lost
362,neg,uh I wish someone would include follow friday would great get followers
363,neutral,Although becoming Tuesday soon New Zealand
364,neutral,okay em e mail I send install notes
365,pos,Rain makes good study day almost done
366,neg,RIP Big cup I miss
367,neg,Gudafternoon twitter followers Hey giving u chance help get gud placement still maintaining jobless profile sad
368,neutral,The video set private
369,neg,Hey Cameron I know amazing I sunburn So mum happy throat kills Still 3
370,pos,Oh yeah radio SO playing Earth Wind Fire
371,pos,Thanks I know
372,pos,Yes today Star Wars Day May ith
373,neutral,I ready half hour ago notice I
374,neutral,Yes yes indeed nuts Like though rich Tut
375,pos,last day work everyone making great
376,neg,nope would music
